org.mozilla.firefox
com.brave.browser
org.torproject.torbrowser
mega.privacy.android.app
com.owncloud.android
com.nextcloud.client
org.connectbot
org.jitsi.meet
org.telegram.messenger
im.vector.app
org.sufficientlysecure.keychain
net.mullvad.mullvadvpn
ch.protonvpn.android
org.thoughtcrime.securesms
org.xbmc.kodi
org.videolan.vlc
com.noctuasoftware.stellarium_free
com.x8bit.bitwarden
net.sourceforge.opencamera
ch.protonmail.android
de.danoeh.antennapod
at.tomtasche.reader
com.duckduckgo.mobile.android
org.kde.kdeconnect_tp
net.cozic.joplin
com.standardnotes
com.kunzisoft.keepass.free
org.proninyaroslav.libretorrent
com.frostwire.android
com.foobnix.pdf.reader
com.kiwibrowser.browser
eu.faircode.email
com.fsck.k9
network.loki.messenger
ch.threema.app
is.xyz.mpv
code.name.monkey.retromusic
com.collabora.libreoffice
com.beemdevelopment.aegis
me.jmh.authenticatorpro
ch.deletescape.lawnchair.plah
amirz.rootless.nexuslauncher
de.blinkt.openvpn
com.wireguard.android
com.github.shadowsocks
com.google.zxing.client.android
org.mozilla.focus
com.renard.ocr
com.wire
com.google.samples.apps.iosched
